word,pos
heartening,VERB
Minas,VERB
regarded,VERB
straight,ADV
horizon,NOUN
branching,VERB
ADELARD,NOUN
Elendil,NOUN
hide,NOUN
veins,NOUN
Jolly,ADV
after-days,NOUN
foe,NOUN
_and,NOUN
need,ADJ
hissing,VERB
spreading,ADJ
hurrying,VERB
cavalry,NOUN
hewn,NOUN
swayed,NOUN
schooling,NOUN
obscure,VERB
'Now,.
_Green,NOUN
house-dwellers,NOUN
padding,VERB
dithering,VERB
Pit,NOUN
stretch,VERB
keys,NOUN
disappeared,VERB
nice,ADJ
right,ADJ
utterly,ADV
denser,ADJ
pate,NOUN
behind,ADP
dwarf-tongue,NOUN
train,VERB
elf-wrought,ADJ
stumbling,VERB
ownership,NOUN
shelving,VERB
side,ADV
nightshade,ADJ
practised,ADJ
tunnel,NOUN
shrubs,NOUN
couches,NOUN
Their,PRON
untasted,ADJ
KING,NOUN
flow,NOUN
reluctant,ADJ
gold,ADJ
ve,ADJ
improved,VERB
hurt,NOUN
slap,VERB
orc,NOUN
Name,NOUN
ruining,VERB
haunted,VERB
intention,NOUN
abandon,ADP
though,ADV
'Midgewater,NOUN
will,VERB
'thief,NOUN
Have,VERB
loop,NOUN
floating,VERB
_Mithril,ADV
bind,NOUN
Nenya,NOUN
amiss,ADJ
Dear,ADJ
Horse-lords,NOUN
gesture,NOUN
'And,CONJ
afield,NOUN
forty-four,ADJ
shone,NOUN
raw,ADJ
wandering,NOUN
come,ADJ
overlaid,NOUN
wreathed,VERB
hustled,VERB
boat,NOUN
flaming,VERB
'Were,ADV
'Or,CONJ
_Yrch,NOUN
summer-light,ADJ
limited,VERB
us,PRON
tone,NOUN
glossy,ADJ
own,ADJ
worried,VERB
unanswered,ADJ
daunted,VERB
lads,VERB
burn,VERB
Certainly,ADV
elven-white,ADJ
wonderfully,ADV
indoors,NOUN
Gondolin,NOUN
Wargs,NOUN
dashing,VERB
sullen,ADJ
willing,ADJ
sighed,VERB
bright,NOUN
,ADV
advantage,NOUN
slit,NOUN
peered,VERB
horns,NOUN
biting,NOUN
poor,ADJ
boiling,VERB
rent,VERB
untúpa,ADJ
recent,ADJ
heaviest,ADJ
brighter,NOUN
names,VERB
dreamless,ADJ
joking,VERB
winters,NOUN
cold,NOUN
sawn,NOUN
Find,VERB
indisposed,ADJ
he.,NOUN
_'You_,ADJ
warm,NOUN
popularly,ADV
autumn,NOUN
merry,ADJ
warily,ADV
'Just,CONJ
coming_,VERB
silver-grey,ADJ
crash,NOUN
watchfulness,NOUN
flowers,NOUN
want,VERB
alder-trees,NOUN
much,ADV
gurgling,NOUN
wafted,VERB
Thus,ADV
oaks,NOUN
stray,VERB
tonight,NOUN
'Good,NOUN
late,ADV
hurried,ADJ
treasure-hunt,NOUN
_where,ADJ
punish,VERB
usually,ADV
warriors,NOUN
brows,NOUN
Ask,VERB
leads,VERB
pocket,NOUN
guards,NOUN
falls,NOUN
'Oi,CONJ
damasked,VERB
lonely,ADJ
glittered,VERB
Still,ADV
kettle,NOUN
War,NOUN
cleared,VERB
'Alas,PRT
dol,NOUN
Company,NOUN
Shire-muster,NOUN
yours,VERB
monument,NOUN
reaches,VERB
trodden,ADV
cockle-boats,NOUN
gossamer-threads,NOUN
Harrowdale,NOUN
crocks,NOUN
enjoying,VERB
April,NOUN
'Bilbo,PRT
befall,VERB
'Why,PRT
retake,VERB
valiantly,ADV
Ever,ADV
rustle,NOUN
leap,NOUN
haven,VERB
ninety-nine,ADJ
districts,NOUN
dust,NOUN
gripped,VERB
attack,NOUN
forgotten,NOUN
'That,.
venomous,ADJ
flatter,ADV
West-door,NOUN
'My,NUM
rejoiced,VERB
Elf-sires,NOUN
sober,ADJ
invited,VERB
buried,VERB
spat,NOUN
However,ADV
nor,CONJ
ill-luck,ADJ
'Morning,VERB
'let,.
Because,ADP
hole,NOUN
'yet,.
greater,ADJ
'His,.
Westfarthing,NOUN
'Too,ADJ
scoffed,VERB
met,ADV
well-farmed,ADJ
homes,NOUN
noted,VERB
pulling,VERB
inhaled,VERB
IV,NOUN
include,VERB
midst,NOUN
Cold,ADJ
How splendid,EXC
Cloudyhead,NOUN
divided,VERB
thieving,VERB
anger._,VERB
room,NOUN
'Speed,VERB
'Now,CONJ
blaze,NOUN
Marish,NOUN
conscience,NOUN
blood,NOUN
Fond,NOUN
mill-wheel,NOUN
height,NOUN
resides,NOUN
determined,ADJ
tug,NOUN
old-fashioned,ADJ
'Neither,CONJ
lord,NOUN
ever,ADV
cure,NOUN
sparklers,NOUN
nearer,VERB
tree-roots,NOUN
dreaded,ADJ
Elvendom,NOUN
returning,NOUN
beside,NOUN
source,NOUN
finest,ADJ
lodging,VERB
investigating,VERB
agreed,VERB
eat,VERB
hat,NOUN
_,ADP
Elven-folk,NOUN
churning,VERB
scabbard,NOUN
whirling,VERB
AWAKE,NOUN
prospects,NOUN
bedewed,VERB
cloaked,ADJ
roving,VERB
fountain,ADJ
'One,CONJ
weave,VERB
govannen,NOUN
coldly,ADV
join,VERB
beggars,NOUN
'Glad,.
tapering,VERB
singing,NOUN
lot,NOUN
rogue,NOUN
misgave,VERB
weariness,NOUN
mountain-race,NOUN
'Pippin,NOUN
passages,NOUN
sixth,ADJ
bent,ADJ
undeterred,ADJ
cuts,NOUN
immediately,ADV
ruined,VERB
dream,NOUN
painful,ADJ
morning-light,ADJ
spike,NOUN
range,NOUN
wreath,NOUN
helpless,NOUN
elm,NOUN
slow-coach,NOUN
a_,NOUN
phial,NOUN
veils,NOUN
marriage,NOUN
Were,ADV
figured,ADJ
sharp-eyed,ADJ
allay,VERB
became,VERB
sprang,ADJ
poignant,ADJ
badly,ADV
mean,ADJ
Eye,NOUN
ink-bottle,ADJ
a-thinking,ADJ
Things,NOUN
Wizards,NOUN
water-side,NOUN
Wolf,NOUN
noticing,VERB
stuttering,VERB
'the,NUM
green-hued,ADJ
willow-wand,NOUN
gentler,NOUN
already,ADV
Marcho,NOUN
Tall,DET
Lo,EXC
fastened,VERB
'Seldom,NOUN
footstep,NOUN
marshals,NOUN
smoking,VERB
eighty,ADJ
explains,VERB
sinking,ADJ
bless,NOUN
gel,VERB
zig-zagging,ADJ
Who,NOUN
'Well,CONJ
above,ADJ
backwards,NOUN
scattering,VERB
terrifying,NOUN
smiths,NOUN
hump,NOUN
pretending,VERB
manuscript,NOUN
exactly,ADV
laughs,VERB
stairs,ADJ
dig,VERB
keener,NOUN
werewolves,NOUN
_sixty_,ADJ
morning_,NOUN
slush,NOUN
shop,NOUN
outset,NOUN
Darkness,NOUN
labels,NOUN
quiet,ADJ
_The_,NOUN
sleepiness,NOUN
shielding,VERB
supper,ADJ
upright,ADJ
Believe,VERB
',.
Fallohide,NOUN
domination,NOUN
wet,VERB
go,VERB
accessory,ADJ
Dáin.,NOUN
catering,NOUN
sneering,NOUN
_What,DET
Follow,VERB
PARTY,NOUN
Wilderland,NOUN
hoof-prints,NOUN
orc-voices,NOUN
smile,NOUN
studying,VERB
'Very,PRT
live,NOUN
gloomily,ADV
summon,VERB
thee,VERB
wildberries,NOUN
shadowed,ADJ
shoot,VERB
evil,VERB
night-chill,ADJ
mountains,NOUN
ditches,NOUN
refuses,VERB
sleep,NOUN
'Baggins,NOUN
builded,VERB
prevent,VERB
sea,NOUN
dragged,VERB
uncomfortably,ADV
welcome,NOUN
Spare,NOUN
drunk,VERB
'Excellent,NOUN
debatable,ADJ
When,ADV
cases,NOUN
whistled,VERB
Moria_,NOUN
speaking_,NOUN
blackened,ADJ
hazels,NOUN
Authorities,NOUN
living,ADJ
broad,ADJ
raining,NOUN
blundering,NOUN
Inn,NOUN
soul,NOUN
memorable,ADJ
answer,VERB
full-sized,ADJ
glances,NOUN
lives,NOUN
serious,ADJ
cook,VERB
_Say,ADJ
babel,NOUN
recovers,VERB
regard,VERB
risen,VERB
spent,ADJ
Enemy,NOUN
hobbit-families,NOUN
yourself,PRON
hiding,NOUN
Bearer,NOUN
wo,VERB
trumpet-voice,NOUN
expression._,NOUN
wave,NOUN
laden,ADJ
forbidden,VERB
demand,NOUN
pipe,NOUN
Twilight,NOUN
managed,VERB
insolence,NOUN
Occasionally,ADV
unload,VERB
step,VERB
revolts,VERB
Run,NOUN
Africa,NOUN
outon,ADP
crawling,VERB
tunic,NOUN
towards,NOUN
Neither,CONJ
hoping,VERB
exclamations,NOUN
trembled,VERB
influences,NOUN
fallow,ADJ
er,ADJ
former,ADJ
scream,NOUN
liquor,NOUN
report,NOUN
conclusion,NOUN
cousin,NOUN
'Courage,NOUN
unrusted,ADJ
peep,NOUN
similar,ADJ
Sancho,NOUN
lurking-place,NOUN
Come,VERB
hastened,VERB
nay,ADJ
'Laugh,NUM
'Few,.
Gladden,NOUN
Meanwhile,ADV
arriving,NOUN
kin,NOUN
squirrel,NOUN
tangled,ADJ
errantry,NOUN
mountain-side,NOUN
paved,VERB
callers,NOUN
glint,NOUN
snout,VERB
_Flói,NOUN
packed,ADJ
sway,VERB
_well_-preserved,ADJ
entirely,ADV
Orodruin,NOUN
stench,NOUN
Language,NOUN
two-footed,ADJ
hounds,NOUN
heather-covered,ADJ
blindly,ADV
confidently,ADV
'Many,NOUN
shook,NOUN
farmhouses,NOUN
Chubbs,NOUN
Seen,NOUN
ash,NOUN
innkeeper,NOUN
dull,NOUN
flabbergasted,ADJ
faded,VERB
Elven-river,NOUN
thrust,NOUN
RING,NOUN
freshet,NOUN
board,NOUN
lords,NOUN
slope,NOUN
beer-barrel,NOUN
elven-flowers,NOUN
night-noises,NOUN
'You,PRT
Findegil,NOUN
disappointed,VERB
tears,NOUN
thread,NOUN
unwrapped,ADJ
drank,NOUN
shouts,NOUN
irresponsible,ADJ
harboured,VERB
Most,ADJ
malicious,ADJ
Books,NOUN
prowls,NOUN
bootless,ADJ
loathsome,ADJ
some,DET
crouching,NOUN
hilly,NOUN
silver,NOUN
further,ADJ
hunted,ADJ
teens,NOUN
Mazarbul_,NOUN
Folco,NOUN
quavering,VERB
thinner,NOUN
descended,VERB
vigorous,ADJ
rival,ADJ
Soft,NOUN
Venerable,VERB
Gorgoroth,NOUN
acknowledge,VERB
'Hardly,ADV
judged,VERB
laugh,NOUN
sunshine,NOUN
ends,VERB
wore,ADV
camping-place,NOUN
THE,DET
forbid,NOUN
ringing,NOUN
hands,NOUN
afterwards,NOUN
conquest,NOUN
Needless,ADJ
slain,VERB
_Do,NOUN
preferred,VERB
stalwart,NOUN
consumed,VERB
coining,VERB
stable,ADJ
jester,NOUN
flint,NOUN
difficulties,NOUN
deck,NOUN
custom,NOUN
unwilling,ADJ
fierceness,NOUN
murky,NOUN
offer,VERB
Enchantment,NOUN
flesh,ADJ
kindly,ADV
shoe-making,ADJ
aside,NOUN
watching,NOUN
i,NOUN
Did,NOUN
Legolas,NOUN
hung,VERB
overtaken,VERB
VERY,NOUN
ANGELICA,NOUN
mouths,NOUN
drip,NOUN
inventory,NOUN
doubtfully,ADV
tilt,VERB
undying,ADJ
persisted,VERB
begging,VERB
hocks,NOUN
attractive,ADJ
lurking,VERB
dwarf-make,NOUN
Away,NOUN
Riders,NOUN
suggests,VERB
Smaug,NOUN
throats,NOUN
Even,ADV
while,NOUN
content,VERB
clambered,VERB
keel,NOUN
shining,NOUN
spy,NOUN
Naur,NOUN
quickly,ADV
pinned,VERB
Perch_,NOUN
flee,VERB
luini,NOUN
East-West,NOUN
perilously,ADV
regular,ADJ
thinking,NOUN
firm,NOUN
True-hearted,ADJ
'He,ADJ
Business,NOUN
_helm_,NOUN
heard,NOUN
new,ADJ
annihilated,VERB
rows,NOUN
twisted,VERB
woodlands,NOUN
like,ADP
pack,NOUN
Wonder,NOUN
edro,ADJ
confused,ADJ
'So,VERB
sweet-tongued,ADJ
Be,NOUN
Steward,NOUN
how,ADV
remark,NOUN
advice,NOUN
'Thank,ADJ
crowded,VERB
ten,NOUN
poisoned,VERB
High-elven,NOUN
spell,NOUN
sorrows,NOUN
suspected,VERB
syllables,NOUN
Limlight,NOUN
ripe,NOUN
nephew,NOUN
pine-woods,NOUN
tarry,VERB
commentaries,NOUN
dragon-fire,NOUN
tree,ADJ
sources,NOUN
Good-bye,ADJ
boughs,VERB
get,VERB
unused,ADJ
pre-eminent,ADJ
BUTTERBUR,NOUN
volumes,NOUN
'None,NUM
diminished,VERB
nigh,ADJ
grave,NOUN
hill-side,NOUN
scimitars,NOUN
wildly,ADV
any,DET
desire,VERB
hundred,ADJ
stiff,ADJ
echoing,VERB
suns,NOUN
dreams,NOUN
Halfelven,NOUN
flood,NOUN
hulk,NOUN
quick,ADV
peak,NOUN
Later,ADV
permanently,ADV
light,ADV
'Supper,.
pocked,VERB
learn,VERB
lantern,NOUN
Seven,VERB
correspondence,NOUN
stupid,ADJ
lavishly,ADV
hoped,VERB
laughter,NOUN
screws,VERB
groping,VERB
handling,NOUN
outbreak,NOUN
foolish,ADJ
force,NOUN
shimmering,VERB
senses,NOUN
unreasoning,ADJ
attributed,VERB
shelter,VERB
silken,NOUN
rind,NOUN
fun,VERB
maybe,VERB
Among,ADP
visits,NOUN
pierce,VERB
aforetime,ADV
'Praised,VERB
flagged,VERB
repair,VERB
'Their,CONJ
ride,NOUN
inside,ADV
harness,NOUN
pan,VERB
wield,NOUN
veered,VERB
threatening,ADJ
likely,VERB
makin,NOUN
waterman,NOUN
forge,NOUN
connexions,NOUN
_Shire._,NOUN
blemish,ADJ
adventures,VERB
bolt,VERB
share,NOUN
anew,ADV
commands,VERB
drop,NOUN
used,VERB
suffer,VERB
'Who,PRON
Hissed,VERB
Fear,NOUN
home-grown,ADJ
'Indeed,ADP
Smith,NOUN
outside,ADJ
beware,NOUN
sentinel,NOUN
Forest,NOUN
quieter,ADV
lit,ADJ
lonesome,ADJ
embattled,ADJ
unravelling,NOUN
Gollum,NOUN
red,VERB
gasp,NOUN
freedom,NOUN
echo,NOUN
door,ADJ
worse,ADV
free,ADV
plainer,NOUN
felt,VERB
impatiently,ADV
estranged,VERB
gaping,ADJ
fat,NOUN
unimportant,ADJ
Within,ADP
imagined,VERB
tree-shadows,NOUN
Elven,NOUN
raid,NOUN
gropes,VERB
hill-lop,NOUN
Buck,NOUN
_mountains,VERB
stepped,VERB
blinked,VERB
belonging,VERB
helplessly,ADV
goodness,NOUN
hundreds,NOUN
move,VERB
margins,NOUN
_now_,NOUN
straight,NOUN
_The,ADJ
delay,NOUN
distances,NOUN
wildfire,NOUN
beryl,NOUN
Shore,NOUN
jingling,VERB
Bombadillo,NOUN
_Shire-reckoning,NOUN
'about,ADP
outburst,NOUN
illuminated,VERB
spun,VERB
spreading,VERB
hobbits,VERB
skin,NOUN
travelling,VERB
bold.,ADJ
marshes,NOUN
resemble,VERB
saying,VERB
spouted,VERB
twig-fingers,NOUN
'True,ADJ
baldric,NOUN
rowans,NOUN
defences,NOUN
nest,ADJ
_do_,VERB
trinkets,NOUN
police,NOUN
Rope,ADV
build,VERB
leagues,VERB
Bolgers,NOUN
speaking,NOUN
warn,NOUN
side,NOUN
unwatched,ADJ
handicrafts,NOUN
swift,NOUN
helms,NOUN
foreseen,ADJ
increasing,VERB
mumbled,VERB
'Hey,.
Nonetheless,CONJ
anxiously,ADV
Behind,NOUN
good-bye,NOUN
gold,VERB
beat,NOUN
bad,ADJ
_Well-preserved_,ADJ
songs,NOUN
happen,VERB
opening,VERB
mugs,NOUN
'Leaving,VERB
curtains,NOUN
local,ADJ
Chubb,NOUN
Obstinate,NOUN
nests,NOUN
hang,VERB
Fallohides,NOUN
countless,ADJ
yelp,NOUN
stick,NOUN
crawled,VERB
desperation,NOUN
equally,ADV
instructed,VERB
Stair,NOUN
Rúmil,NOUN
now-let,NOUN
curiosity,NOUN
madness,NOUN
required,VERB
will-o'-the-wisp,NOUN
_we,NOUN
overhead,VERB
make,NOUN
cheery-looking,ADJ
odd,ADV
Swordsman,NOUN
runes,VERB
sundry,ADJ
delight,ADJ
smiling,VERB
leaned,VERB
orcs,ADJ
destruction,NOUN
traps,NOUN
silver-netted,ADJ
sprawling,VERB
questioned,VERB
swart,ADV
_Grey_,NOUN
dreary,ADJ
stars,VERB
victory,NOUN
'Pray,NOUN
foe,ADJ
stragglers,NOUN
ebb,NOUN
subject,NOUN
slapping,VERB
,NOUN
Hullo,NOUN
slay,VERB
awake,ADJ
sister,NOUN
pursuers,NOUN
regretted,VERB
hewn,ADJ
Odd,NOUN
swan,NOUN
caita,ADJ
pale,ADJ
endure,NOUN
mementoes,NOUN
Thin-clad,ADJ
concerned,ADJ
'There,CONJ
'as,ADV
relating,VERB
stone-paved,ADJ
wind-writhen,ADJ
course,NOUN
Eastfarthing,NOUN
fluffy,ADJ
Zirak,NOUN
husbanding,VERB
channel,NOUN
Morgoth,NOUN
fed,VERB
furlong,NOUN
wonder,VERB
grinning,VERB
unstained,ADJ
Baraz,NOUN
hit,VERB
lodge,VERB
sport,NOUN
hate,VERB
'Let,.
blinking,VERB
chopping,VERB
muttering,NOUN
creeping,VERB
scribe,NOUN
AWAKE,X
ramifying,VERB
command,NOUN
admit,VERB
here-which,ADJ
overlapped,VERB
remainder,NOUN
wrought,NOUN
tracking,VERB
awkwardly,ADV
'hiding,VERB
idea,NOUN
littered,VERB
unwearyingly,ADV
'Fear,NUM
'No,X
BURROWS,NOUN
lucky,ADJ
hits,NOUN
gladly,ADV
babbled,VERB
dwarf-boots,NOUN
mere_,NOUN
wearing,VERB
misgivings,NOUN
darling,NOUN
glimmered,VERB
shout,VERB
easier,ADJ
Warm,NOUN
future,NOUN
wrapped,VERB
visiting,VERB
'Trolls,NOUN
beneath,PRT
Tharbad,NOUN
colony,NOUN
fathoms,NOUN
slow,NOUN
_flet_,ADV
please,VERB
loss,NOUN
dol_,NOUN
fallen,VERB
Thorin,NOUN
threshold,NOUN
grass-border,NOUN
chance-meeting,NOUN
pair,NOUN
'until,.
sleeping,NOUN
spooks,NOUN
bright,ADJ
flatter,NOUN
Stick-at-naught,ADJ
tortuous,ADJ
shreds,NOUN
creak,NOUN
him,PRON
breathing,VERB
'He,.
feasting,NOUN
Actually,ADV
Calacirian,ADJ
brighter,ADJ
Doors,NOUN
Unwearied,VERB
Wise,VERB
'In,.
Hador,NOUN
courage,VERB
Vardo,NOUN
half,ADV
lands,NOUN
Harry,NOUN
cold,ADJ
interrupting,NOUN
Turn,VERB
friends,VERB
drove,NOUN
storm,VERB
growth,NOUN
plants,NOUN
colonized,VERB
grass,NOUN
warm,ADJ
drinks,NOUN
'And,NUM
raindrop,NOUN
dragon-lair,NOUN
aloud,PRT
banquet,NOUN
reception,NOUN
172,NUM
behaviour,NOUN
caution,NOUN
_'But,VERB
Simple,NOUN
dared,VERB
Gil-galad,NOUN
Willow-man,NOUN
spies,NOUN
frightened,VERB
Heavy,NOUN
My,PRON
ill-treating,ADJ
day,NOUN
explore,VERB
melted,VERB
'Back,NOUN
reaching,VERB
seldom,ADV
produces,VERB
reigns,NOUN
wind-drift,NOUN
Ben-adar,NOUN
forlorn,NOUN
doom_,NOUN
define,VERB
bite,VERB
additions,NOUN
May,NOUN
turn,VERB
fast,ADJ
'bite,NOUN
'Hey,CONJ
wizard,NOUN
took,VERB
heads,NOUN
'Rope,CONJ
Elf-kindred,NOUN
crippled,VERB
cramped,VERB
Seizing,VERB
scribes,NOUN
'Put,VERB
queens,NOUN
blindfold,ADV
shalt,NOUN
cloaked,VERB
rune,NOUN
closer,ADV
separate,VERB
ring,VERB
breeds,NOUN
journeyed,VERB
forgotten,ADJ
web,NOUN
She,PRON
'Just,NUM
uproar,NOUN
abandoned,VERB
corner,NOUN
G3,NOUN
broken,NOUN
_PPS,NOUN
Tintallë,NOUN
sheer,ADV
fire-weed,ADJ
keep,VERB
fools,VERB
flounder,VERB
formerly,ADV
'Ah,.
round,PRT
upland,ADJ
Saruman,NOUN
Were,NOUN
anything,NOUN
clenched,VERB
threat,NOUN
rockets,NOUN
fist,NOUN
receive,VERB
herds,NOUN
Elentári,NOUN
hastily,ADV
either,DET
dark,VERB
bobbed,VERB
advised,VERB
veined,VERB
accursed,ADJ
Round,VERB
beasts,NOUN
travels,NOUN
Barrow-Downs,NOUN
parties,NOUN
striven,VERB
'devised,VERB
comer,NOUN
Tremendous,NOUN
fight,NOUN
Bree-hobbits,ADJ
?,.
cutting,VERB
recall,NOUN
errandless,VERB
accomplish,VERB
underneath,ADJ
_them._,NOUN
sinking,VERB
BOOK,NOUN
ones,NOUN
honey-cakes,NOUN
mysteriously,ADV
fires,NOUN
lying,NOUN
hay,NOUN
cloven,ADJ
untimely,ADJ
wells,NOUN
horse,NOUN
damage,VERB
snap-dragons,NOUN
Cut,NOUN
Hey,NOUN
whistling,NOUN
delighted,ADJ
voted,VERB
tight,ADV
professionally,ADV
likenesses,NOUN
keepers,NOUN
blocking,VERB
joins,VERB
deformity,NOUN
AWAKE,ADJ
breath,NOUN
am._,VERB
Rain,NOUN
policies,NOUN
tough,ADJ
union,NOUN
liken,VERB
shoulder-high,NOUN
half-starved,ADJ
thought,NOUN
copies,NOUN
elven-ship,NOUN
pipes,NOUN
landmark,NOUN
Óin,NOUN
pella,NOUN
them._,NOUN
Sam,NOUN
hard,ADJ
outflung,NOUN
'No,ADJ
capable,ADJ
'Now,NUM
thirty,NOUN
Archet,NOUN
elven-string,NOUN
significance,NOUN
blind,ADP
cousins,NOUN
flight,NOUN
shadowed,VERB
stumbled,VERB
flapping,VERB
elm,ADJ
wanders,VERB
awkward,ADV
_mathoms_,NOUN
Power,NOUN
inns,ADV
probably,ADV
help,NOUN
containing,NOUN
onlookers,NOUN
memory,NOUN
Amid,NOUN
edition,NOUN
understood,VERB
unmasked,VERB
water-side,ADJ
kingdoms,NOUN
comical,ADJ
Hark,NOUN
over,VERB
suppose,VERB
'He,CONJ
Dreadful,NOUN
stopping,VERB
'Leastways,VERB
_All,.
know,VERB
nuncle,NOUN
'In,CONJ
loth,VERB
shy,NOUN
hewed,VERB
ornament,NOUN
kindred,NOUN
mud,NOUN
Bree-blood,NOUN
'One,NUM
distrust,NOUN
fringes,NOUN
meddle,VERB
pricked,VERB
rises,VERB
red-brick,ADJ
rush,NOUN
exceptionally,ADV
begun,VERB
creased,VERB
forest-lands,NOUN
terrifying,ADJ
undergrowth,ADJ
:,.
disprove,VERB
Lamps,NOUN
glory,NOUN
bewildering,VERB
spider,NOUN
anybody,NOUN
domain,NOUN
folly,ADV
tinkle,NOUN
splendid,ADJ
Arnor,NOUN
fade,VERB
pledge,NOUN
unnoticed,ADJ
visitor,NOUN
derry,VERB
everywhere,ADV
folks,NOUN
deafest,ADJ
